Verkehrszelle,Name,NUTS_2006,NUTS_2021,Remarks,Problems,Remarks for the fixed version
21011,Kopenhagen,DK1,DK01,,,
21012,Seeland Süd,DK2,DK02,,,
21013,Bornholm,DK6,DK014,in PDF the Verkehrszelle is 221013,,
21014,Fünen,DK3,DK031,,,
21015,Jütland Süd,DK4,DK032,,,
21016,Jütland Nord,DK5,DK0,Categorize upwards,,
22001,Norwegen,N,NO0,NO=NO0,,
23011,Stockholm/Mittelschweden Ost,S1,SE,Categorize upwards,,
23012,Göteborg/Mittelschweden West,S2,SE23,Categorize upwards,,SE23(+SE311)
23013,Malmö/Südschweden,S3,SE22,,,
23014,Nordschweden,S4,SE3,Categorize upwards,,
24001,Finnland,FIN,FI1,FI=FI1,,
29001,Island,IS,IS002,IS=IS0=IS00=IS002,Can not be found in NUTS_2006,
31011,Amsterdam/Nordholland,NL1,NL32,,,
31012,Utrecht,NL3,NL310,NL31=NL310,,
31013,Rotterdam/Südholland,NL2,NL33,,,
31014,Zeeland,NL4,NL342,,,
31021,Groningen,NL10,NL11,Categorize upwards: inlude also 31022,,
31022,Winschoten,NL12,NL111,,,
31023,Emmen,NL13,NL132,,,
31024,Drenthe West,NL11,NL13,Categorize upwards: inlude also 31023,,
31025,Friesland,NL9,NL12,,,
31031,Arnhem/Nijmegen,NL17,NL226,,,
31032,Apeldoorn,NL7,NL221,,,
31033,Flevoland,NL8,NL230,NL23=NL230,,
31034,Zwolle,NL14,NL21,Categorize upwards: inlude also 31035,,
31035,Enschede,NL15,NL213,,,
31036,Gelderland Ost,NL16,NL225,,,
31041,Eindhoven/Nordbrabant Ost,NL6,NL41,Categorize upwards: inlude also 31045,,
31042,Venlo,NL18,NL421,,,
31043,Roermond,NL19,NL422,,,
31044,Maastricht,NL20,NL423,,,
31045,Nordbrabant West,NL5,NL41,Categorize upwards: inlude also 31041,,
32011,Brüssel,BE1,BE24,Categorize upwards,,BE24(+BE1)
32012,Antwerpen,BE4,BE21,,,
32013,Hasselt,BE9,BE22,,The value of NUTS_2006 printed not clearly,
32014,Ostflandern,BE5,BE23,,,
32015,Westflandern,BE6,BE25,,32015 and 32021 exchange its part territory,
32021,Hainaut,BE7,BE32,,,
32022,Brabant Süd,BE3,BE310,BE31=BE310,,
32023,Namur,BE8,BE35,,,
32024,Lüttich,BE10,BE33,Categorize upwards: inlude also 32025,,
32025,Eupen/Malmedy,BE12,BE336,,,
32026,Belgisch-Luxembourg,BE11,BE34,,,
33001,Luxemburg,LUX,LU000,LU=LU0=LU00=LU000,,
36011,London/Südostengland,UK1,UK,Categorize upwards,,
36012,Großbritannien Rest,UK2,UK,Categorize upwards,,
37001,Irland,IRL,IE0,IE=IE0,,
41011,Paris,FR1,FR1,FR1=FR10,,
41021,Picardie,FR2,FRE2,,,
41022,Champagne/Ardenne,FR4,FRF2,,,
41023,Bourgogne,FR10,FRC1,,,
41024,Normandie/Centre,FR15,FRB0,Categorize upwards,,FRB0(+FRD)
41031,Lille,FR3,FRE1,,,
41041,Nancy/Lothringen Süd/West,FR5,FRF3,Categorize upwards: inlude also 41042,,
41042,Metz/Moselle,FR6,FRF33,,,
41043,Strasbourg/ Bas Rhin,FR7,FRF11,,,
41044,Mulhouse/ Haut Rhin,FR8,FRF12,,,
41045,Franche Comte,FR9,FRC2,,The value of NUTS_2006 printed not clearly,
41051,Auvergne/Rhone-Alpes,FR11,FRK,,,
41052,Frankreich Mittelmeerküste,FR12,FRJ1,Categorize upwards,,FRJ1(+FRL0)
41053,Südwestfrankreich,FR13,FRJ,Categorize upwards,,FRJ(+FRI/FRI1)
41054,Westfrankreich,FR14,FRG,Categorize upwards,,FRG(+FRH0+FRI3)
42001,Spanien,ES,ES,,,
43001,Portugal,PT,PT,,,
51011,Basel-Stadt,CH1,CH031,,,
51012,Basel-Landschaft,CH2,CH032,,,
51013,Aargau,CH3,CH033,,,
51014,Zürich,CH5,CH040,CH04=CH040,,
51015,Schaffhausen,CH4,CH052,,,
51016,Thurgau,CH6,CH057,,,
51017,St. Gallen,CH7,CH055,Categorize upwards,,CH055(+CH053+CH054)
51018,Chur,CH10,CH056,,,CH056(+CH051)
51019,Zentralschweiz,CH8,CH06,,,
51021,Bern,CH9,CH02,,51021 and 51022 exchange its part territory,
51022,Genf/Lausanne/Wallis,CH12,CH01,,51021 and 51022 exchange its part territory,
51023,Tessin,CH11,CH070,CH07=CH070,,
51901,Liechtenstein,LI,LI000,LI=LI0=LI00=LI000,,
52011,Wien/Österreich Ost,AT14,AT1,,,
52012,Steiermark,AT13,AT22,,,
52013,Kärnten,AT12,AT21,,,
