CHARGER_ID,OSM_ID,geometry,LON,LAT,PLUG_COUNT,PLUG_POWER,CHARGER_TYPE
0,way/8037001,"POLYGON ((9.7350035 53.3664159, 9.7350523 53.366319, 9.7351795 53.3660665, 9.7354783 53.3660265, 9.7355873 53.3658867, 9.7355262 53.3657736, 9.7359239 53.3658859, 9.7380127 53.3664759, 9.7384605 53.3666024, 9.7381127 53.3665641, 9.737351 53.3666099, 9.737107 53.3669586, 9.7371881 53.3671478, 9.7370384 53.3673405, 9.7356098 53.3669707, 9.7350035 53.3664159))",9.736338031999626,53.3665466227286,5,100,DC
1,way/11962946,"POLYGON ((13.6890458 51.0677337, 13.6887265 51.067745, 13.6887238 51.067805, 13.6881863 51.0678322, 13.6881451 51.0678478, 13.6881578 51.0679705, 13.6881687 51.0680754, 13.6880094 51.0680954, 13.6868014 51.0683215, 13.6868054 51.0683367, 13.68628 51.0684156, 13.6861665 51.0683925, 13.6864913 51.0678243, 13.6866214 51.0675987, 13.6868878 51.0672264, 13.6871705 51.0669111, 13.6875111 51.0666495, 13.6878885 51.0664707, 13.6885074 51.0663398, 13.6887986 51.0663248, 13.6890894 51.0663849, 13.6890458 51.0677337))",13.687830921859213,51.06736408181291,5,100,DC
2,way/22568865,"POLYGON ((8.6951459 50.3582906, 8.6950253 50.3583748, 8.6945868 50.3582508, 8.6943453 50.3582811, 8.6940343 50.3582874, 8.6938054 50.3582408, 8.6935997 50.3581194, 8.6927092 50.3579526, 8.6928414 50.3576021, 8.6921913 50.3565932, 8.6921402 50.356274, 8.6922036 50.3560017, 8.6929845 50.3548711, 8.6930245 50.3548467, 8.6931166 50.3547925, 8.6931981 50.3547919, 8.6932692 50.3547951, 8.6941658 50.3567942, 8.6951459 50.3582906))",8.693413404367774,50.35681056566857,5,100,DC
3,way/24633379,"POLYGON ((13.4913592 52.3156327, 13.4939708 52.3148776, 13.4946276 52.3150101, 13.497507 52.3155912, 13.4975741 52.3157949, 13.4976717 52.3161206, 13.4979267 52.3168257, 13.497939 52.3170129, 13.4974995 52.3170911, 13.4940397 52.3164058, 13.4913954 52.3159153, 13.4913592 52.3156327))",13.495013848384312,52.31592524834146,5,100,DC
4,way/24633380,"POLYGON ((13.5000769 52.3186646, 13.4990004 52.3189648, 13.4986177 52.3190371, 13.4982365 52.3190698, 13.4979705 52.3190698, 13.497172 52.3189273, 13.4958247 52.3186868, 13.4938935 52.318267, 13.4937896 52.3180831, 13.4937304 52.3179785, 13.493327 52.3168609, 13.4940353 52.3167698, 13.4998611 52.3180102, 13.5006231 52.3184925, 13.5000769 52.3186646))",13.496623460253815,52.318020786748356,5,100,DC
5,way/26005323,"POLYGON ((10.8422122 50.7271226, 10.84144 50.7268307, 10.840118 50.7263412, 10.8393955 50.725552, 10.8393335 50.7254583, 10.8393248 50.7253925, 10.8393404 50.7253395, 10.8393692 50.7252892, 10.8394123 50.7252444, 10.8395272 50.7251912, 10.8395647 50.7250841, 10.841174 50.7254483, 10.8427363 50.7257056, 10.8446218 50.7259725, 10.8447988 50.7260778, 10.8449651 50.7264071, 10.8450295 50.7264869, 10.8451797 50.7265566, 10.8449679 50.726699, 10.8443474 50.7271058, 10.8435464 50.7271901, 10.8427796 50.7272398, 10.8427582 50.7272354, 10.8422122 50.7271226))",10.842252270957488,50.72624971465185,5,100,DC
6,way/26005458,"POLYGON ((10.8443281 50.7255084, 10.8442551 50.7254585, 10.8443831 50.7253765, 10.8455239 50.724635, 10.8459092 50.7245366, 10.8466589 50.7245251, 10.8483852 50.7244988, 10.8484049 50.7248211, 10.8489882 50.7248123, 10.8491206 50.7248273, 10.8492511 50.7248799, 10.8493657 50.7250372, 10.8495386 50.7252843, 10.8497741 50.7255558, 10.8498254 50.7256226, 10.8474417 50.7256445, 10.8464309 50.7256133, 10.8443281 50.7255084))",10.847119009885052,50.72513136762954,5,100,DC
7,way/26357816,"POLYGON ((13.2714597 51.0832045, 13.2723516 51.0822713, 13.2729642 51.0823015, 13.2729693 51.0821708, 13.273681 51.0821716, 13.2736683 51.0822552, 13.2740933 51.0822592, 13.2741948 51.0824067, 13.2739474 51.0828211, 13.2728259 51.0837639, 13.2714597 51.0832045))",13.27285755505834,51.082876303626016,5,100,DC
8,way/26562493,"POLYGON ((14.9012228 51.2251581, 14.9037204 51.2246045, 14.9037989 51.2247191, 14.9042669 51.2254027, 14.9042981 51.225488, 14.9033282 51.225703, 14.9025558 51.225918, 14.9019807 51.2261008, 14.9016288 51.2262405, 14.9014251 51.226177, 14.9013236 51.2258657, 14.9012228 51.2251581))",14.902636712587118,51.22538727143773,5,100,DC
9,way/27647544,"POLYGON ((9.7762203 52.552168, 9.7762709 52.5518244, 9.776324 52.551463, 9.7768648 52.5514792, 9.7776939 52.5514911, 9.7778502 52.5514933, 9.7778542 52.5515372, 9.7779779 52.5528837, 9.7775793 52.5531816, 9.7774164 52.5533034, 9.7772345 52.5534393, 9.7771405 52.5534717, 9.7766978 52.5533881, 9.7762971 52.5533034, 9.7761911 52.5532559, 9.7761417 52.5532124, 9.7761102 52.5531182, 9.7761172 52.5530405, 9.7761339 52.5528544, 9.776136 52.552831, 9.7762203 52.552168))",9.777032541228033,52.55242405951787,5,100,DC
10,way/28473085,"POLYGON ((10.6347081 52.3133048, 10.6338251 52.312909, 10.6337971 52.3128878, 10.633801 52.3128526, 10.6338401 52.3128068, 10.6337676 52.3127621, 10.6337387 52.3127467, 10.6336958 52.3127215, 10.633928 52.3125628, 10.634093 52.3124491, 10.6340586 52.3105428, 10.6350248 52.3105364, 10.6356289 52.3105324, 10.6365961 52.3105416, 10.6365965 52.3105903, 10.6365971 52.3106539, 10.6366079 52.3118991, 10.6365392 52.3119499, 10.6357926 52.3125023, 10.6358328 52.3126651, 10.6355345 52.3128965, 10.6352359 52.3129142, 10.6350703 52.3130241, 10.6347939 52.3132383, 10.6347081 52.3133048))",10.635186055635476,52.31171718602787,5,100,DC
11,way/29154431,"POLYGON ((7.1754632 51.7700175, 7.175587 51.7701842, 7.1760442 51.7729438, 7.1759312 51.773132, 7.1756623 51.7727555, 7.1748756 51.772243, 7.1747579 51.7714193, 7.1748946 51.7713179, 7.1750813 51.7711794, 7.1749415 51.7704855, 7.1754372 51.7700408, 7.1754632 51.7700175))",7.1754052340663526,51.77158114904564,5,100,DC
12,way/29872581,"POLYGON ((12.0930353 48.9595751, 12.0930746 48.9595504, 12.0935091 48.9595786, 12.093798 48.9598431, 12.093876 48.9600571, 12.0939479 48.9603633, 12.0939793 48.9605877, 12.0939962 48.9608193, 12.0939309 48.9609698, 12.09382 48.9611064, 12.0936922 48.9612077, 12.0935383 48.9613088, 12.0934244 48.9614272, 12.0933472 48.961572, 12.0932193 48.9618422, 12.0931204 48.9620135, 12.0929708 48.9622113, 12.0928419 48.9623559, 12.0926644 48.9625129, 12.0925269 48.9625949, 12.0923894 48.9626408, 12.0923879 48.9626406, 12.0922953 48.9626287, 12.0921988 48.9625949, 12.0920733 48.962759, 12.0919093 48.9628675, 12.0918444 48.962841, 12.0918043 48.9628256, 12.0919959 48.9625343, 12.0920782 48.9624091, 12.0924183 48.9618277, 12.0926666 48.9612823, 12.0928719 48.9606287, 12.0930456 48.9598301, 12.0930353 48.9595751))",12.093110824594838,48.96108544239745,5,100,DC
